Scheme Code,ISIN Div Payout/ ISIN Growth,ISIN Div Reinvestment,Scheme Name,Net Asset Value,Repurchase Price,Sale Price,Date
Open Ended Schemes (Balanced)
Axis Mutual Fund
135765,INF846K01WP8,-,Axis Children's Gift Fund - Lock in - Direct Dividend,12.1183,12.1183,12.1183,26-Jul-2017
135762,INF846K01WO1,-,Axis Children's Gift Fund - Lock in - Direct Growth,12.1190,12.1190,12.1190,26-Jul-2017
135760,INF846K01WK9,-,Axis Children's Gift Fund - Lock in - Dividend,11.8127,11.8127,11.8127,26-Jul-2017
135759,INF846K01WJ1,-,Axis Children's Gift Fund - Lock in - Growth,11.8078,11.8078,11.8078,26-Jul-2017
135763,INF846K01WS2,INF846K01WQ6,Axis Children's Gift Fund - without Lock in - Direct Dividend,12.1183,11.7548,12.1183,26-Jul-2017
135764,INF846K01WR4,-,Axis Children's Gift Fund - without Lock in - Direct Growth,12.1927,11.8269,12.1927,26-Jul-2017
135761,INF846K01WN3,INF846K01WL7,Axis Children's Gift Fund - without Lock in - Dividend,11.8117,11.4573,11.8117,26-Jul-2017
135766,INF846K01WM5,-,Axis Children's Gift Fund - without Lock in - Growth,11.8064,11.4522,11.8064,26-Jul-2017
120523,INF846K01ET8,INF846K01EU6,Axis Triple Advantage Fund - Direct Plan - Dividend Option,15.8120,15.6539,15.8120,26-Jul-2017
120524,INF846K01EV4,-,Axis Triple Advantage Fund - Direct Plan - Growth Option,18.3636,18.1800,18.3636,26-Jul-2017
113065,INF846K01776,INF846K01784,Axis Triple Advantage Fund - Dividend Option,14.2589,14.1163,14.2589,26-Jul-2017
113064,INF846K01768,-,Axis Triple Advantage Fund - Growth Option,17.4826,17.3078,17.4826,26-Jul-2017
Baroda Pioneer Mutual Fund
125112,INF955L01DB5,-,Baroda Pioneer Balance Fund - Plan A - Bonus Option,43.50,43.07,43.50,27-Dec-2016
101913,INF955L01682,INF955L01690,BARODA PIONEER BALANCE FUND - Plan A - Dividend Option,18.62,18.43,18.62,26-Jul-2017
101912,INF955L01708,-,BARODA PIONEER BALANCE FUND - Plan A - Growth Option,53.71,53.17,53.71,26-Jul-2017
119325,INF955L01922,-,BARODA PIONEER BALANCE FUND - Plan B (Direct) - Dividend Option,20.16,19.96,20.16,26-Jul-2017
119326,INF955L01948,-,BARODA PIONEER BALANCE FUND - Plan B (Direct) - Growth Option,56.45,55.89,56.45,26-Jul-2017
Birla Sun Life Mutual Fund
120518,INF209KA1LH3,INF209K01ZB2,Birla Sun Life Balanced '95 Fund - Direct Plan-Dividend,215.56,213.40,215.56,26-Jul-2017
120517,INF209K01ZC0,-,Birla Sun Life Balanced '95 Fund - Direct Plan-Growth,762.22,754.60,762.22,26-Jul-2017
103154,INF209K01BS7,INF209K01EE1,Birla Sun Life Balanced '95 Fund - Regular Plan-Dividend,151.14,149.63,151.14,26-Jul-2017
103155,INF209K01BT5,-,Birla Sun Life Balanced '95 Fund - Regular Plan-Growth,728.41,721.13,728.41,26-Jul-2017
131671,INF084M01DK3,INF084M01DL1,Birla Sun Life Balanced Advantage Fund - Direct Plan - Dividend Option,22.92,22.69,22.92,26-Jul-2017
131670,INF084M01DJ5,-,Birla Sun Life Balanced Advantage Fund - Direct Plan - Growth Option,51.08,50.57,51.08,26-Jul-2017
131665,INF084M01AC6,INF084M01AD4,Birla Sun Life Balanced Advantage Fund - Regular Plan - Dividend Option,22.09,21.87,22.09,26-Jul-2017
131666,INF084M01AB8,-,Birla Sun Life Balanced Advantage Fund - Regular Plan - Growth Option,49.37,48.88,49.37,26-Jul-2017
BNP Paribas Mutual Fund
141005,INF251K01PB5,INF251K01PA7,BNP PARIBAS BALANCED FUND -DIRECT PLAN- DIVIDEND OPTION,10.3799,10.3799,10.3799,26-Jul-2017
141006,INF251K01OZ7,-,BNP PARIBAS BALANCED FUND- DIRECT PLAN - GROWTH OPTION,10.5360,10.5360,10.5360,26-Jul-2017
