Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


SBI Mutual Fund
119792;SBI CORPORATE BOND FUND - DIRECT  PLAN - DAILY DIVIDEND;10.4354;10.1223;10.4354;03-Apr-2017
119792;SBI CORPORATE BOND FUND - DIRECT  PLAN - DAILY DIVIDEND;10.4334;10.1204;10.4334;05-Apr-2017
119792;SBI CORPORATE BOND FUND - DIRECT  PLAN - DAILY DIVIDEND;10.4174;10.1049;10.4174;06-Apr-2017
119792;SBI CORPORATE BOND FUND - DIRECT  PLAN - DAILY DIVIDEND;10.4105;10.0982;10.4105;07-Apr-2017
119792;SBI CORPORATE BOND FUND - DIRECT  PLAN - DAILY DIVIDEND;10.4159;10.1034;10.4159;10-Apr-2017
119792;SBI CORPORATE BOND FUND - DIRECT  PLAN - DAILY DIVIDEND;10.4205;10.1079;10.4205;11-Apr-2017
119792;SBI CORPORATE BOND FUND - DIRECT  PLAN - DAILY DIVIDEND;10.4280;10.1152;10.4280;12-Apr-2017
119792;SBI CORPORATE BOND FUND - DIRECT  PLAN - DAILY DIVIDEND;10.4361;10.1230;10.4361;13-Apr-2017
119792;SBI CORPORATE BOND FUND - DIRECT  PLAN - DAILY DIVIDEND;10.4335;10.1205;10.4335;17-Apr-2017
119792;SBI CORPORATE BOND FUND - DIRECT  PLAN - DAILY DIVIDEND;10.4317;10.1187;10.4317;18-Apr-2017
119792;SBI CORPORATE BOND FUND - DIRECT  PLAN - DAILY DIVIDEND;10.4357;10.1226;10.4357;19-Apr-2017
119792;SBI CORPORATE BOND FUND - DIRECT  PLAN - DAILY DIVIDEND;10.4373;10.1242;10.4373;20-Apr-2017
119792;SBI CORPORATE BOND FUND - DIRECT  PLAN - DAILY DIVIDEND;10.4272;10.1144;10.4272;21-Apr-2017
119792;SBI CORPORATE BOND FUND - DIRECT  PLAN - DAILY DIVIDEND;10.4270;10.1142;10.4270;24-Apr-2017
119792;SBI CORPORATE BOND FUND - DIRECT  PLAN - DAILY DIVIDEND;10.4283;10.1155;10.4283;25-Apr-2017
119792;SBI CORPORATE BOND FUND - DIRECT  PLAN - DAILY DIVIDEND;10.4206;10.1080;10.4206;26-Apr-2017
119792;SBI CORPORATE BOND FUND - DIRECT  PLAN - DAILY DIVIDEND;10.4218;10.1091;10.4218;27-Apr-2017
119792;SBI CORPORATE BOND FUND - DIRECT  PLAN - DAILY DIVIDEND;10.4219;10.1092;10.4219;28-Apr-2017
119793;SBI CORPORATE BOND FUND - DIRECT PLAN - DIVIDEND;14.4725;14.0383;14.4725;03-Apr-2017
119793;SBI CORPORATE BOND FUND - DIRECT PLAN - DIVIDEND;14.4758;14.0415;14.4758;05-Apr-2017
119793;SBI CORPORATE BOND FUND - DIRECT PLAN - DIVIDEND;14.4582;14.0245;14.4582;06-Apr-2017
119793;SBI CORPORATE BOND FUND - DIRECT PLAN - DIVIDEND;14.4518;14.0182;14.4518;07-Apr-2017
119793;SBI CORPORATE BOND FUND - DIRECT PLAN - DIVIDEND;14.4678;14.0338;14.4678;10-Apr-2017
119793;SBI CORPORATE BOND FUND - DIRECT PLAN - DIVIDEND;14.4774;14.0431;14.4774;11-Apr-2017
119793;SBI CORPORATE BOND FUND - DIRECT PLAN - DIVIDEND;14.4908;14.0561;14.4908;12-Apr-2017
