Mutual Fund,Symbol
AEGON Life - Accelerator Fund,AEGO_LIFE_18JN2W7
AEGON Life - Balanced Fund,AEGO_LIFE_CA0P0X
AEGON Life - Conservative Fund,AEGO_LIFE_P4MLZK
AEGON Life - Debt Fund,AEGO_LIFE_18DY0
AEGON Life - Enhanced Equity Fund,AEGO_LIFE_EQU_1H49ZT4
AEGON Life - Group Debt Fund,AEGO_LIFE_DEBT_12YWJN1
AEGON Life - Group Equity Fund,AEGO_LIFE_EQU_1B98YHE
AEGON Life - Nav Protector Fund,AEGO_LIFE_PROT_18YBVY0
AEGON Life - Pension Balance Fund,AEGO_LIFE_BALA_1H8S40D
AEGON Life - Pension Debt Fund,AEGO_LIFE_DEBT_DL880Q
AEGON Life - Pension Enhanced Equity Fund,AEGO_LIFE_ENHA_1CYOYVH
AEGON Life - Pension Index Equity Fund,AEGO_LIFE_INDE_1N486V6
AEGON Life - Pension Secure Fund,AEGO_LIFE_SECU_6RH77V
AEGON Life - Secure Fund,AEGO_LIFE_122HQU8
AEGON Life - Stable Fund,AEGO_LIFE_6BV64O
Aviva Life - Group Superannuation & Gratuity Balanced Fund,AVIV_LIFE_BALA_1CHYI52
Aviva Life - Group Superannuation & Gratuity Growth Fund,AVIV_LIFE_GROW_1WCOZW0
Aviva Life - Group Superannuation & Gratuity Secure Fund,AVIV_LIFE_SECU_15EOWOQ
Aviva Life - Life Unit Linked Balance Fund II,AVIV_LIFE_II_1TAUYU3
Aviva Life - Life Unit Linked Balanced Fund,AVIV_LIFE_1TFZ6ZJ
Aviva Life - Life Unit Linked Enhancer Fund,AVIV_LIFE_1CQSHT1
Aviva Life - Life Unit Linked Enhancer Fund II,AVIV_LIFE_II_1BY2PPN
Aviva Life - Life Unit Linked Growth Fund,AVIV_LIFE_O15M26
Aviva Life - Life Unit Linked Growth Fund II,AVIV_LIFE_II_12GK4WK
Aviva Life - Life Unit Linked Index Fund,AVIV_LIFE_132IQ10
Aviva Life - Life Unit Linked Index Fund II,AVIV_LIFE_II_60BMUM
Aviva Life - Life Unit Linked PSU Fund,AVIV_LIFE_1I1JP2V
Aviva Life - Life Unit Linked Pension Secure Fund,AVIV_LIFE_SECU_A53OEO
Aviva Life - Life Unit Linked Protector Fund,AVIV_LIFE_1MAY0TU
Aviva Life - Life Unit Linked Protector Fund II,AVIV_LIFE_II_X7JO03
Aviva Life - Life Unit Linked Secure Fund,AVIV_LIFE_6GL0BP
Aviva Life - Life Unit Linked Wealth Builder Fund,AVIV_LIFE_BUIL_1TOWW9T
Aviva Life - Pension Unit Linked Balance Fund,AVIV_LIFE_BALA_9UEAUP
Aviva Life - Pension Unit Linked Balanced Fund II,AVIV_LIFE_BALA_1LZYHAF
Aviva Life - Pension Unit Linked Growth Fund,AVIV_LIFE_GROW_93GJDD
Aviva Life - Pension Unit Linked Growth Fund II,AVIV_LIFE_GROW_KM9E40
Aviva Life - Pension Unit Linked Index Fund,AVIV_LIFE_INDE_18V2A3O
Aviva Life - Pension Unit Linked Index Fund II,AVIV_LIFE_INDE_ITZDE4
Aviva Life - Pension Unit Linked PSU Fund,AVIV_LIFE_PSU_5L7TUN
Aviva Life - Pension Unit Linked Protector Fund,AVIV_LIFE_PROT_1O9VFMG
Aviva Life - Pension Unit Linked Protector Fund II,AVIV_LIFE_PROT_STEFOC
Aviva Life - Unit Linked Dynamic PE Fund,AVIV_LIFE_PE_RI3PAR
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,AXIS_BANK_PSU_10DLT55
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,AXIS_BANK_PSU_10DOAUL
Axis Banking & PSU Debt Fund Daily Dividend Reinvestment,AXIS_BANK_PSU_1K7EGM3
Axis Banking & PSU Debt Fund Direct Plan Daily Dividend Reinvestment Option,AXIS_BANK_PSU_YPV92T
Axis Banking & PSU Debt Fund Direct Plan Monthly Dividend Payout Option,AXIS_BANK_PSU_119UXNG
Axis Banking & PSU Debt Fund Direct Plan Monthly Dividend Reinvestment Option,AXIS_BANK_PSU_R7O8KL
Axis Banking & PSU Debt Fund Direct Plan Weekly Dividend Payout,AXIS_BANK_PSU_13UADQL
Axis Banking & PSU Debt Fund Direct Plan Weekly Dividend Reinvestment,AXIS_BANK_PSU_1OIQ6CB
Axis Banking & PSU Debt Fund Growth,AXIS_BANK_PSU_1WUS5I1
Axis Banking & PSU Debt Fund Monthly Dividend Payout,AXIS_BANK_PSU_1WG2U2J
Axis Banking & PSU Debt Fund Monthly Dividend Reinvestment,AXIS_BANK_PSU_1DMRXIL
Axis Banking & PSU Debt Fund Weekly Dividend Payout,AXIS_BANK_PSU_ZHH6F3
Axis Banking & PSU Debt Fund Weekly Dividend Reinvestment,AXIS_BANK_PSU_12EHI80
Axis Capital Protection Oriented Fund Series 5 Dividend,AXIS_CAP_PROT_15MJR1Z
Axis Capital Protection Oriented Fund Series 5 Growth,AXIS_CAP_PROT_B1KD6L
Axis Children's Gift Direct Lock in Dividend Payout,AXIS_CHIL_GIFT_1PSX9V2
Axis Children's Gift Direct Lock in Growth,AXIS_CHIL_GIFT_DQIFG0
Axis Children's Gift Direct No Lock in Growth,AXIS_CHIL_GIFT_1RE921O
Axis Children's Gift Direct No Lockin Dividend Payout,AXIS_CHIL_GIFT_F2J8MO
Axis Children's Gift Direct No Lockin Dividend Reinvestment,AXIS_CHIL_GIFT_136N4Q4
Axis Children's Gift Regular Lock in Dividend Payout,AXIS_CHIL_GIFT_178SGFL
Axis Children's Gift Regular Lock in Growth,AXIS_CHIL_GIFT_ZKW1VI
Axis Children's Gift Regular No Lock in Dividend Payout,AXIS_CHIL_GIFT_8I001S
Axis Children's Gift Regular No Lock in Dividend Reinvestment,AXIS_CHIL_GIFT_1NY7CAR
Axis Children's Gift Regular No Lock in Growth,AXIS_CHIL_GIFT_179PP9H
Axis Constant Maturity 10 Year Fund - Direct Plan - Bonus Option,AXIS_CONS_MATU_1CI6FUP
Axis Constant Maturity 10 Year Fund - Direct Plan - Growth Option,AXIS_CONS_MATU_279YML
Axis Constant Maturity 10 Year Fund - Direct Plan - Half Yearly Dividend Option,AXIS_CONS_MATU_1VX7W44
Axis Constant Maturity 10 Year Fund Direct Plan Regular Dividend Payout Option,AXIS_CONS_MATU_1QT2B20
Axis Constant Maturity 10 Year Fund Direct Plan Regular Dividend Reinvestment Option,AXIS_CONS_MATU_10TLWC6
Axis Constant Maturity 10 Year Fund Growth,AXIS_CONS_MATU_DMO16J
Axis Constant Maturity 10 Year Fund Half Yearly Dividend Payout,AXIS_CONS_MATU_W7KXKD
Axis Constant Maturity 10 Year Fund Half Yearly Dividend Reinvestment,AXIS_CONS_MATU_1LQRR5S
Axis Constant Maturity 10 Year Fund Quarterly Dividend Payout,AXIS_CONS_MATU_1LFGR8E
Axis Constant Maturity 10 Year Fund Quarterly Dividend Reinvestment,AXIS_CONS_MATU_ODVON6
Axis Corporate Debt Opportunities Direct Daily Dividend Reinvestment,AXIS_CORP_DEBT_1XPH3VR
Axis Corporate Debt Opportunities Direct Growth,AXIS_CORP_DEBT_1I9PVQC
Axis Corporate Debt Opportunities Direct Monthly Dividend Payout,AXIS_CORP_DEBT_5D07MQ
Axis Corporate Debt Opportunities Direct Monthly Dividend Reinvestment,AXIS_CORP_DEBT_1SBJ8X8
Axis Corporate Debt Opportunities Direct Regular Dividend Payout,AXIS_CORP_DEBT_1VMVLYR
Axis Corporate Debt Opportunities Direct Regular Dividend Reinvestment,AXIS_CORP_DEBT_1F13HNA
Axis Corporate Debt Opportunities Direct Weekly Dividend Payout,AXIS_CORP_DEBT_1R31CO9
Axis Corporate Debt Opportunities Direct Weekly Dividend Reinvestment,AXIS_CORP_DEBT_1TDFOQ7
Axis Corporate Debt Opportunities Regular Daily Dividend Reinvestment,AXIS_CORP_DEBT_1RKFBF6
Axis Corporate Debt Opportunities Regular Dividend Payout,AXIS_CORP_DEBT_EXBE7D
Axis Corporate Debt Opportunities Regular Dividend Reinvestment,AXIS_CORP_DEBT_IVYCA5
Axis Corporate Debt Opportunities Regular Growth,AXIS_CORP_DEBT_BYZUQ9
Axis Corporate Debt Opportunities Regular Monthly Dividend Payout,AXIS_CORP_DEBT_8H4EGB
Axis Corporate Debt Opportunities Regular Monthly Dividend Reinvestment,AXIS_CORP_DEBT_A58RCD
Axis Corporate Debt Opportunities Regular Weekly Dividend Payout,AXIS_CORP_DEBT_CY6GKY
Axis Corporate Debt Opportunities Regular Weekly Dividend Reinvestment,AXIS_CORP_DEBT_19UT4CT
Axis Dynamic Bond Fund - Direct Plan - Growth Option,AXIS_DYNA_BOND_1E690D0
Axis Dynamic Bond Fund Direct Plan Half Yearly Dividend Payout Option,AXIS_DYNA_BOND_1QJDCFA
Axis Dynamic Bond Fund Direct Plan Half Yearly Dividend Reinvestment Option,AXIS_DYNA_BOND_EY129H
Axis Dynamic Bond Fund Direct Plan Quarterly Dividend Payout Option,AXIS_DYNA_BOND_1GJYJAJ
Axis Dynamic Bond Fund Direct Plan Quarterly Dividend Reinvestment Option,AXIS_DYNA_BOND_OY57FH
Axis Dynamic Bond Fund Growth,AXIS_DYNA_BOND_1XHXSQX
Axis Dynamic Bond Fund Half Yearly Dividend Payout,AXIS_DYNA_BOND_1T4P6D9
Axis Dynamic Bond Fund Half Yearly Dividend Reinvestment,AXIS_DYNA_BOND_HCG3NK
Axis Dynamic Bond Fund Quarterly Dividend Payout,AXIS_DYNA_BOND_BT1RW3
Axis Dynamic Bond Fund Quarterly Dividend Reinvestment,AXIS_DYNA_BOND_1DQIP8U
Axis Emerging Opportunities Series 1 1400 Days Direct Dividend,AXIS_EMER_OPTY_1VN1LF9
Axis Emerging Opportunities Series 1 1400 Days Direct Growth,AXIS_EMER_OPTY_1LH1WO7
Axis Emerging Opportunities Series 1 1400 Days Regular Dividend,AXIS_EMER_OPTY_1V2IBGU
Axis Emerging Opportunities Series 1 1400 Days Regular Growth,AXIS_EMER_OPTY_1UIW91S
Axis Emerging Opportunities Series 2 1400 Days Direct Dividend,AXIS_EMER_OPTY_BNO5US
Axis Emerging Opportunities Series 2 1400 Days Direct Growth,AXIS_EMER_OPTY_10A89NF
Axis Emerging Opportunities Series 2 1400 Days Regular Dividend,AXIS_EMER_OPTY_1KNBSHP
Axis Emerging Opportunities Series 2 1400 Days Regular Growth,AXIS_EMER_OPTY_YK6D1Z
